name,review_count,score
洪崖洞民俗风貌区Hongyadong Commercial Street,7113,92
濯水古镇Zhuoshui Ancient Town,68,88
解放碑步行街Jiefangbei,3659,92
山城步道Mountain Town Trail,428,90
李子坝轻轨站Liziba Station,238,90
鹅岭公园Eling Park,382,92
磁器口古镇Ciqikou Ancient Town,11530,88
朝天门广场Chaotianmen Square,1324,88
白象居Baixiangju,7,88
千厮门大桥Qiansimen Bridge,134,94
皇冠大扶梯Crown Escalator,419,84
龚滩古镇乌江画廊,1,100
长江索道Yangtze River Cableway,3676,82
李子坝公园Liziba Park,59,90
重庆动物园Chongqing Zoo,560,94
二厂文创公园Creative Industry Park,143,86
蚩尤九黎城Chiyou Jiuli City,77,80
武隆喀斯特旅游区Wulong Tiankeng Land Slot National Geological Park,1005,92
南滨路Nanbin Road,226,90
观音桥步行街Guanyinqiao Pedestrian Street,476,90
华岩寺Huayan Temple,117,90
三峡之巅Three Gorges Summit,1,92
长寿湖Changshou Lake,198,86
涞滩古镇Laitan Ancient Town,87,90
三峡博物馆Three Gorges Museum,785,92
天主教若瑟堂St Joseph's Cathedral Chongqing,74,90
黄水国家森林公园Huangshui National Forest Park,65,86
丰都鬼城名山景区Fengdu Ghost City,477,86
阿依河景区Ayi River,225,80
黑山谷风景区Black Mountain Valley Scenic Area,1555,90
洋人街Foreigner Street,596,82
西沱古镇Xituo Old Town,42,76
北仓文创街区Zhongfu · Beicang Cultural and Creative Park,15,92
十八梯Shibati,130,84
重庆建川博物馆聚落Museum Cluster Jianchuan,31,94
重庆市南川区基督教会Chongqing Nanchuanqu Christ Church,0,0
长嘉汇弹子石老街Zhangjiahui Danzi Shilao Street,100,92
万灵古镇Wanling Ancient Town,178,92
汉海海洋公园Hanhai Ocean Park,198,84
美心红酒小镇Meixin Village of Wine,30,84
安居古城Anju ancient city,155,78
罗汉寺Luohan Temple,371,88
仙女山国家森林公园Fairy Mountain National Forest Park,1364,90
歌乐山烈士陵园Geleshan Martyrs Cemetery,137,92
南山植物园Nanshan Botanical Garden,447,88
重庆国泰艺术中心Chongqingguotai Art Center,156,90
小寨天坑风景区Xiaozha Sky Hole Scenic Area,725,88
芙蓉洞Furong Cave,659,92
重庆大学Chongqing University,158,94
四川美术学院(黄桷坪校区)Sichuan Fine Arts Institute,365,92
大圆洞风景区Dayuandong National Forest Park,2,80
大足石刻Dazu Rock Carving,1599,92
缙云山Jinyun Mountain,165,88
龙水峡地缝Longshui Gorge,1432,92
钓鱼城Diaoyu Castle,232,90
南山一棵树观景台Nanshan Tree Viewing Platform,810,88
白帝城.瞿塘峡景区Baidi City Scenic Area,618,90
湖广会馆Huguang Guild Hall,539,90
四面山Simianshan,498,90
重庆当代美术馆Chongqing Art Gallery (Jiefangbei Guotai Arts Centre),69,92
嘉陵江Jialing River,107,92
三峡之巅观景平台,0,94
重庆光环购物公园室内植物园“沐光森林”,1,80
长江三峡,44,96
武隆天生三桥Three Natural Bridges,5116,94
金佛山Jinfo Mountain,519,88
人民大礼堂Great Hall of the People,684,90
白公馆Bai Mansion,519,90
渣滓洞Zhazi Cave,716,90
巫山小三峡Wushan Little Three Gorges,466,88
白鹤梁水下博物馆Baiheliang Underwater Museum,212,92
云阳龙缸国家地质公园Yunyang Longgang National Geological Park,653,94
新华日报营业部旧址Xinhuaribaoyingyebu Site,51,92
涂山,6,88
周公馆Chongqing Zhougong Mansion,57,88
涂鸦一条街Graffiti Street,220,88
下牢溪,1,66
重庆抗战遗址博物馆Chongqing War Museum Site,32,94
朝天门码头Chaotianmen Wharf,93,84
芙蓉江Furong River Scenic Area,85,92
张飞庙Zhang Fei Temple,281,90
红岩革命纪念馆Hongyan Revolutionary Memorial Hall,98,94
武隆,5048,90
宋庆龄旧居Former Residence of Soong Ching Ling,90,90
三峡广场Three Gorges Plaza,181,90
歌乐山国家森林公园Geleshan National Forest Park,158,90
瞿塘峡Qutang Gorge,188,94
巫峡Wu Gorge,154,94
红岩魂广场Hongyanhun Square,67,90
梅园,5,90
桂园Guiyuan,59,88
西南大学Southwest University,103,96
老君洞Laojun Cave,95,92
重庆园博园Chongqing Garden Expo Park,735,94
长寿古镇Changshou Ancient Town,212,80
万州大瀑布Wanzhou Greatfalls,1893,96
碧津公园Bijin Park,197,92
泰昌古镇Dachang Ancient Town,31,78
缙云山生态旅游观光索道Jinyunshan Cableway (Northwest to Yunshan Garden),24,92
四川外国语大学Sichuan Waiguoyu University,53,92
乌江长廊,6,80
东温泉Dong Hot Spring,51,84
大韩民国临时政府旧址陈列馆Museum of Korean Provisional Government Site,40,92
重庆枇杷山公园Pipa Mountain Park,102,90
大木花谷Damuhua Valley,82,80
花卉园Flower Garden (suggested: Garden of Blooms - please see comment),181,88
重庆野生动物世界Chongqing Wildlife World,318,90
同盟国驻渝外交机构旧址群-法国水师兵营旧址French navy barracks site,40,80
(重庆黄水旅游度假区)毕兹卡绿宫Bizika Lvgong,19,98
地心探险极地Zhangguang Karst Cave Scenic Area,52,90
龙水湖旅游度假区Huayang Longshui Lake,43,82
神女溪Goddess Creek,50,84
南温泉公园South Hot Spring Park,21,76
重庆好吃街Chongqing Haochi Street,519,92
黄桷坪,17,86
西南政法大学Southwest University of Political Science and Law (South Gate),53,94
龙兴古镇Longxing Ancient Town,94,86
中山古镇Zhongshan Ancient Town,83,90
巴文化雕塑区,2,100
东溪古镇Dongxi Ancient Town,41,94
重庆珊瑚公园Coral Park,43,88
石宝寨Shibao Village,198,88
小南海Chongqing Small South Sea,150,82
临江公园,1,100
黄山蒋介石官邸Chiang Kai-shek's Residence,22,94
佛图关公园Fotuguan Park,57,90
胜天湖Shengtian Lake,9,84
龙泉洞,3,60
东水门大桥East Gate Bridge,29,88
圣灯山森林公园Shengdengshan Forest Park,53,92
乌江画廊Wujiang Gallery,294,88
小溪风景区Xiaoxi Scenic area,13,80
洪安古镇Hong'an Ancient Town,66,88
石门山石刻,0,100
武陵仙山Wuling Mountain,16,96
茶山竹海Tea Mountain and Bamboo Forest,379,82
偏岩古镇Pianyan Ancient Town,51,82
金刀峡Jindao Canyon,404,84
南山石刻Stone Carvings of South Mountain,23,92
巴渝文化会馆Former Residence of Daili,39,76
皇冠大扶梯Crown Escalator,419,84
中山四路Zhongshan 4th Road,97,90
慈云寺Ciyun Temple,45,86
中国民主建国会成立纪念碑,0,100
龚滩古镇乌江画廊,1,100
长江索道Yangtze River Cableway,3676,82
李子坝公园Liziba Park,59,90
重庆动物园Chongqing Zoo,560,94
二厂文创公园Creative Industry Park,143,86
蚩尤九黎城Chiyou Jiuli City,77,80
武隆喀斯特旅游区Wulong Tiankeng Land Slot National Geological Park,1005,92
南滨路Nanbin Road,226,90
观音桥步行街Guanyinqiao Pedestrian Street,476,90
大磨滩瀑布Motan Waterfall,16,74
武陵山国家森林公园Wuling Mountain National Forest Park,58,88
重庆千野草场景区Chongqing Qianye Grassland Scenic Spot,102,82
宝轮寺Baolun Temple,97,92
妙高山,1,100
大田湾体育馆,1,100
朝天门大桥Chaotianmen Bridge,101,88
大风堡原始森林,3,100
观音塘湿地公园Bi Mountain Wetland Park,33,92
弥陀禅院Amitabha Buddhist Temple,7,98
南坪步行街(元旦购物广场店)Nanping Pedestrian Street,104,92
姜家溶洞风景区jiangjiarongdongfeng Sceneic Area,20,64
大佛寺,3,90
路孔古镇,6,96
菜园坝长江大桥Caiyuanba Changjiang Bridge,67,94
武陵山大裂谷The Grand Rift at Wulingshan,454,90
桃花村,2,100
"杨闇公同志旧居Former Residence of Yang Angong, Tongnan",20,92
南开中学,3,86
两江国际影视城（民国街）Liangjiang International Film City (Minguo Street),273,84
民俗文化村Bayu Folk Culture Village,61,92
白马洞,1,100
张自忠将军墓General Zhang Zizhong Mausoleum,4,72
南天湖景区Nantianhu Scenic Area,52,82
巫山县博物馆Chongqing Wushan Museum,4,86
重庆图书馆Chongqing Library,59,94
皇华城遗址,2,100
大圆洞风景区Dayuandong National Forest Park,2,80
神女峰The Goddess (Shennv) Peak,104,94
"红池坝高山草场Gaoshan Meadow, Hongchi Dam",50,88
松溉古镇Songgai Ancient Town,36,88
大足石刻Dazu Rock Carving,1599,92
